,event_date,year,month,day,country_code,latitude,longitude,witness,issue
18007,2020-10-09,2020,10,9,ES,42.06333,2.26992,Maria Angeles Puig;Laura Blanco-Sierra;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18008,2020-08-18,2020,8,18,ES,36.71328,-4.29758,Laura Blanco-Sierra;Ignacio Ruiz-Arrondo;Martina Ferraguti;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18009,2021-07-08,2021,7,8,ES,41.35259,2.15387,Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18013,2020-06-02,2020,6,2,ES,37.74474,-0.95372,Pedro María Alarcón-Elbal;Maria Angeles Puig;Roger Eritja;Ignacio Ruiz-Arrondo,CONTINENT_DERIVED_FROM_COORDINATES
18015,2019-08-08,2019,8,8,ES,41.68033,2.41683,Sarah Delacour;Ignacio Ruiz-Arrondo;Roger Eritja;Maria Angeles Puig,CONTINENT_DERIVED_FROM_COORDINATES
18016,2019-06-15,2019,6,15,ES,41.43886,2.21968,Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18017,2021-08-14,2021,8,14,IT,45.21953,12.29346,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18019,2018-08-03,2018,8,3,ES,39.87665,4.27899,Ignacio Ruiz-Arrondo;Daniel Bravo-Barriga;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18020,2019-07-31,2019,7,31,ES,41.62561,0.60761,Roger Eritja;Santi Escartin Peña;Maria Angeles Puig;Pedro María Alarcón-Elbal,CONTINENT_DERIVED_FROM_COORDINATES
18022,2021-08-28,2021,8,28,HU,47.41596,19.06595,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18024,2019-09-24,2019,9,24,ES,41.55862,1.95503,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18028,2018-08-03,2018,8,3,ES,41.40602,2.15054,Maria Angeles Puig;Daniel Bravo-Barriga;Roger Eritja;Santi Escartin Peña,CONTINENT_DERIVED_FROM_COORDINATES
18032,2018-07-19,2018,7,19,ES,36.49593,-4.96559,Ignacio Ruiz-Arrondo;Daniel Bravo-Barriga;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18033,2020-06-23,2020,6,23,ES,41.3614,2.09537,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18037,2020-06-06,2020,6,6,ES,41.59679,1.92042,Simone Mariani;Sarah Delacour;Rosario Melero-Alcíbar;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18039,2019-05-06,2019,5,6,ES,41.50256,2.12155,Ignacio Ruiz-Arrondo;Sarah Delacour;Rosario Melero-Alcíbar;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18040,2021-08-14,2021,8,14,HU,47.41878,19.02675,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18041,2021-09-14,2021,9,14,IT,41.95571,15.03228,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18045,2021-08-27,2021,8,27,IT,44.17552,9.64058,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
